reagent,substance,color,hex_code,ndps_section
Scott,Cocaine HCl,Cobalt Blue,#0047AB,Sec 21
Marquis,Heroin,Deep Purple,#301934,Sec 21
Marquis,Morphine,Violet,#8F00FF,Sec 21
Marquis,Amphetamine,Orange,#FF8C00,Sec 22
Marquis,Methamphetamine,Deep Orange,#D35400,Sec 22
Marquis,MDMA,Purple-Black,#1B1B1B,Sec 22
Simon,Methamphetamine,Bright Blue,#0000FF,Sec 22
Ehrlich,LSD / Indoles,Violet-Pink,#D891EF,Sec 22
Duquenois,Cannabis / THC,Indigo Purple,#4B0082,Sec 20
Mandelin,Ketamine,Orange,#FFA500,Sec 22
Mecke,Opiates,Teal / Blue-Green,#008080,Sec 21
Froehde,MDMA,Black,#000000,Sec 22
